Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccc[nH]c1=O,*c1nc[nH]c2nccc1-2,0.2121,O=[c:8]1[c:4][c:2][c:1][c:6][nH:7]1>>[c:1]1[c:2][c]2[c:4][n][c:6][nH:7][c:8]-2[n]1,https://doi.org/10.1016/j.ejmech.2023.115942
*c1ccc[nH]c1=O,*c1ccc2cccnc2n1,0.1818,O=[c:4]1[c:6][c:10][c:1][c:2][nH]1>>[c:1]1[c:2][n][c:4]2[n][c:6][c][c][c]2[c:10]1,https://doi.org/10.1016/j.ejmech.2023.115942
*c1ccc[nH]c1=O,*c1cnc[nH]c1=O,0.3846,[*:1][c:2]1[c:7]c[c:5][n:4][c:3]1>>[*:1][c:2]1[c:3][n:4][c:5][n][c:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cnc(N)[nH]c1=O,0.2667,[*:1][c:2]1[c:8]c[c:5][n:4][c:3]1>>[*:1][c:2]1[c:3][n:4][c:5]([N])[n][c:8]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1c[nH][nH]c1=O,0.32,[*:1][c:2]1[c:6]cc[n:4][c:3]1>>[*:1][c:2]1[c:3][n:4][nH][c:6]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCC(C(=O)OC(C)=O)CC1,0.0513,[*:1][c:6]1[c:5][c:4][c:3][n:2][c:9]1>>[*:1][N:2]1[C:3][C:4][C:5]([C:6](=[O])[O][C:9][C])[C][C]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1cccc(=O)[nH]1,0.36,[*:1][c:2]1[c:3][c:4][c:5][n:7][c:6]1>>[*:1][c:2]1[c:3][c:4][c:5][c:6][n:7]1,https://doi.org/10.1016/j.ejmech.2019.112022
*c1ccc[nH]c1=O,*c1ccc[nH]c1=O,1,[c:1]1[c:2][c:3][n:4][c:5][c:6]1>>[c:1]1[c:2][c:3][n:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccc[nH]c1=O,*c1ccc(C)[nH]c1=O,0.3846,[c:4]1[c:1][c:2][n:7][c:6][c:5]1>>[C:1][c:2]1[c][c:4][c:5][c:6][n:7]1,https://doi.org/10.1021/acs.jmedchem.1c01670
*c1ccc[nH]c1=O,*COc1cccc[n+]1[O-],0.1714,[c:1]1[c:2][n:3][c:4][c:5][c:6]1 >> [c](-[O]-[C:1])1[n:2][c:3][c:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*COc1c(C(F)(F)F)ccc[n+]1[O-],0.119,[c:1]1[c:2][n:3][c:4][c:5][c:6]1 >> [c](-[O]-[C:1])1[n:2][c:3][c:4][c:5][c:6](-[C](-[F])(-[F])-[F])1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*S1=CC=CC1=O,0.1724,[c:1]1[c:2][n:3][c:4][c:5][c]1 >> [s:1]1[c:2][c:3][c:4][c:5]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1cccc[n+]1[O-],0.25,[c:1]1[c:2][c:3][n:4][c:5][c:6]1 >> [c:1]1[c:2][c:3][c:4][n:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccc[nH]c1=O,*c1ccnc(N)[n+]1[O-],0.1471,[c:1]1[c:2][c:3][n:4][c:5][c:6]1 >> [c:1]1[c:2][n:3][c:4](-[N])[n:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00026
*c1ccc[nH]c1=O,*c1ccnc[n+]1[O-],0.1935,[c:1]1[c:2][c:3][n:4][c:5][c]1 >>[c:1]1[c:2][n:3][c:4][n:5][c]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccc[nH]c1=O,*c1ccn[nH]c1=O,0.3846,[c:1]1[c:2][c:3][n:4][c:5][c:6]1 >> [c:1]1[c:2][n:3][n:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00652
*c1ccc[nH]c1=O,*c1ncc[nH]c1=O,0.4231,[c:1]1[c:2][c:3][n:4][c:5][c:6]1 >> [n:1]1[c:2][c:3][n:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00962
*c1ccc[nH]c1=O,*c1nnc[nH]c1=O,0.3214,[c:1]1[c:2][c:3][n:4][c:5][c:6]1 >> [n:1]1[n:2][c:3][n:4][c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.1c01215
*c1ccc[nH]c1=O,*c1cc[nH]c(=O)n1,0.3704,[*:1][c:2]1[c:3][c:4]c[n:5][c:6]1>>[*:1][c:2]1[c:3][c:4][n:5][c:6][n]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCNCC1=O,0.1562,[*:1][c:2]1[c:3][c][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7][C:2]N[C:3][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*c1nccc(=O)[nH]1,0.2857,[*:1][c:2]1[c][c:4][c:5][n:6][c:7]1>>[*:1][c:2]1n[c:4][c:5][c:7][n:6]1,https://doi.org/10.1016/j.ejmech.2024.116627
*c1ccc[nH]c1=O,*c1cnn[nH]1,0.1786,[*:1][c:2]1[c:3][c][c][nH:6][c]1=[O]>>[*:1][c:2]1[c:3]nn[nH:6]1,https://doi.org/10.1016/j.ejmech.2023.115979
*c1ccc[nH]c1=O,*c1cc[nH]c(=O)c1,0.4,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][c:2]1[c:3][c:7][n:6][c:5][c:4]1,https://dx.doi.org/10.1021/acs.jmedchem.1c00034
*c1ccc[nH]c1=O,*c1ccc(C=O)s1,0.2,[*:1][c:2]1[c:3][c:4][c:5][n][c:7]1>>[*:1][c:2]1[c:3][c:4][c:5]([C:7])s1,https://doi.org/10.1021/acs.jmedchem.1c02169
*c1ccc[nH]c1=O,*c1ccc(C=O)o1,0.2,[*:1][c:2]1[c:3][c:4][c:5][n][c:7]1>>[*:1][c:2]1[c:3][c:4][c:5]([C:7])o1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(C(=O)OC)CC1=O,0.1,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7][C:3]N(C(=O)O[C:2])[C:4][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCSCC1=O,0.1212,[*:1][c:2]1[c:3][c][c:5][n:6][c:7]1>>[*:1][N:6]1[C:7][C:2]S[C:3][C:5]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCCCCC1=O,0.125,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:5][C:4][C:3][C:2]C[C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCCC(C)C1=O,0.1143,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1][N:6]1[C:5][C:4][C:3][C:2](C)[C:7]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccc[nH]c1=O,*N1CCN(c2cc[nH]c(=O)c2)CC1,0.2571,[*:1][c:2]1[c:3][c:4][c:5][n:6][c:7]1>>[*:1]N1CCN([c:2]2[c:3][c:7][n:6][c:5][c:4]2)CC1,https://doi.org/10.1016/j.ejmech.2022.114483
