Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccnc(NC)n1,*c1nc(NC)nc2nc[nH]c12,0.3514,[c:5]1[c:6][n:7][c:1][n:2][c:3]1>>[c:1]1[n:2][c:3][c]2[nH:5][c:6][n:7][c]2[n]1,https://doi.org/10.1016/j.ejmech.2023.115796
*c1ccnc(NC)n1,*c1nc2nc(NC)ncc2[nH]1,0.4,[c:5]1[c:6][n:7][c:1][n:2][c:3]1>>[c:1]1[n:2][c:3][c]2[nH:5][c:6][n:7][c]2[n]1,https://doi.org/10.1016/j.ejmech.2023.115796
*c1ccnc(NC)n1,*C1CCN1NC,0.1111,[c:1]1[c:4]n[c:3][n][c:2]1>>[C:1]1[C:2][N:3][C:4]1,https://doi.org/10.1016/j.ejmech.2023.115796
*c1ccnc(NC)n1,*c1ccnc(NC(F)F)n1,0.5667,[*:1][C:2]>>[*:1][C:2]([F])[F],https://doi.org/10.1016/j.ejmech.2023.115616
*c1ccnc(NC)n1,*c1cc(NC)ncn1,0.3438,[*:1][c:2]1[c:3][c:7][n:6][c]([*:5])[n:8]1>>[*:1][c:2]1[c:3][c]([*:5])[n:6][c:7][n:8]1,https://dx.doi.org/10.1021/acs.jmedchem.0c01498
*c1ccnc(NC)n1,*c1nccc(NC)n1,0.4667,[*:1][c:2]1[n:7][c:6][c:3][c:4][n:5]1>>[*:1][c:2]1[c:3][c:4][n:5][c:6][n:7]1,https://doi.org/10.1016/j.ejmech.2024.116627
*c1ccnc(NC)n1,*c1cccc(NC)n1,0.4333,[*:1][c:2]1n[c:4][c:5][c:6][n:7]1>>[*:1][c:2]1[c][c:4][c:5][c:6][n:7]1,https://doi.org/10.1016/j.ejmech.2024.116627
*c1ccnc(NC)n1,*c1ccnc(NC)c1,0.4194,[*:1][c:2]1n[c:4][c:5][c:6][n:7]1>>[*:1][c:2]1[c][c:4][c:5][c:6][n:7]1,https://doi.org/10.1016/j.ejmech.2024.116627
*c1ccnc(NC)n1,*c1ccc(NC)nc1,0.3438,[*:1][c:2]1[c:3][c:4]n[c:5][n:6]1>>[*:1][c:2]1[c:3][c:4][c:5][n:6][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccnc(OCNC)c1C(F)(F)F,0.2857,[c:1]1[n:2][c:3][c:4][c:5][n:6]1 >> [c](-[O]-[C:1])1[n:2][c:3][c:4][c:5][c:6](-[C](-[F])(-[F])-[F])1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc(C(F)(F)F)c(OCNC)n1,0.3171,[c:1]1[n:2][c:3][c:4][c:5][n:6]1 >> [c](-[O]-[C:1])1[n:2][c:3][c:4][c:5][c:6](-[C](-[F])(-[F])-[F])1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cc(NC)cc2cccnc12,0.3421,[c:1]1[n:2][c:3][c:4][c:5][n:6]1 >> [c:1]1[c:2][c]2[c][c:3][c:4][n][c]2[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1cnc2ccc(NC)cc2c1,0.3158,[c:1]1[n:2][c:3][c:4][c:5][n:6]1 >> [c:1]1[c:2][c]2[c][c:3][c:4][n][c]2[c:5][c:6]1,https://doi.org/10.1021/acs.jmedchem.4c00094
*c1ccnc(NC)n1,*c1ccc2cnc(NC)nc2c1,0.4286,[c:1]1[n:2][c:3][n:4][c:5][c:6]1 >> [c:1]1[n:2][c:3][n:4][c]2[c][c:5][c:6][c][c]21,https://doi.org/10.1021/acs.jmedchem.4c00136
*c1ccnc(NC)n1,*c1nc(NC)nc2ccccc12,0.3714,[c:1]1[n:2][c:3][n:4][c:5][c:6]1 >> [c:1]1[n:2][c:3][n:4][c]2[c][c:5][c:6][c][c]21,https://doi.org/10.1021/acs.jmedchem.4c00136
*c1ccnc(NC)n1,*c1c(OC)c(OC)cc2cnc(NC)nc12,0.375,[c:1]1[n:2][c:3][n:4][c:5][c:6]1 >> [c:1]1[n:2][c:3][n:4][c]2[c:5][c](-[O]-[C])[c](-[O]-[C])[c:6][c]21,https://doi.org/10.1021/acs.jmedchem.4c00136
